15 发票登记台账: 
15.1 序号: 1, 2, 3, 4, 5, 6, 
15.2 发票号码: 7894561, 0894562, 1894563, 7894562, 0894564, 1894566, 
15.3 对方单位名称: 杭州大华电子有限公司, 花儿有限责任公司, 小熊猫有限公司, 杭州大华电子有限公司, 花儿有限责任公司, 小熊猫有限公司, 
15.4 纳税人识别号: 913301001530621847, 913301001530621125, 9133010015306234567, 913301001530621847, 913301001530621125, 9133010015306234567, 
15.5 发票代码: 33220014, 33226615, 33229916, 33220014, 33226615, 33229916, 
15.6 开票日期: 2020-04-1500:00:00, 2020-04-1600:00:00, 2020-05-1700:00:00, 2020-05-1800:00:00, 2020-06-1900:00:00, 2020-06-2000:00:00, 
15.7 不含税金额: 3846.15, 5825.24, 4273.5, 3846.15, 5825.24, 4273.5, 
15.8 税率: 0.13, 0.03, 0.13, 0.13, 0.03, 0.13, 
15.9 税额: 653.85, 174.76, 726.5, 653.85, 174.76, 726.5, 
15.10 开票金额: 4500, 6000, 5000, 4500, 6000, 5000, 
15.11 发票类型: 普通发票, 专用发票, 电子发票, 普通发票, 专用发票, 电子发票, 
15.12 备注: None, None, None, None, None, None, 

