1 20XX年各部门费用报销统计表: 
1.1 部门: 销售1部, 人事部, 财务部, 销售2部, 销售3部, 后勤, 产线, 仓库, 合计, 费用占比, 
1.2 差旅费: 5302.02, 16900, 10248.2, 4902, 5088, 424.2508, 4902, 210.48, 47976.9508, 0.114737750773426, 
1.3 交通费: 10842, 2466.8, 1044.208, 1084.8, 4308, 2404.3, 1084.8, 16900, 40134.908, 0.0959833627321389, 
1.4 交际应酬费: 24902, 5088, 424.2508, 9042, 2442.0248, 2508, 10248, 210.48, 54864.7556, 0.13121006127546, 
1.5 电话费: 1084.8, 4308, 2404.3, 4280, 9042, 9042, 502.02, 16900, 47563.12, 0.113748066885621, 
1.6 通讯费: 16904, 9042, 2442.0248, 10248, 210.48, 424.2508, 9042, 2442.0248, 50754.7804, 0.121380980804123, 
1.7 修车费: 16950, 4280, 9042, 502.02, 16900, 1044.208, 1084.8, 2442.0248, 52245.0528, 0.124944994364062, 
1.8 办公费: 4280, 9042, 9042, 502.02, 5088, 424.2508, 9042, 2442.0248, 39862.2956, 0.095331405217387, 
1.9 业务招待: 10248, 210.48, 424.2508, 9042, 4308, 2404.3, 4280, 9042, 39959.0308, 0.0955627492082731, 
1.10 快递物流: 2508, 10248, 210.48, 10842, 2466.8, 424.2508, 9042, 9042, 44783.5308, 0.107100628739508, 
1.11 合计: 93020.82, 61585.28, 35281.7144, 50444.84, 49853.3048, 19099.8112, 49227.62, 59631.0344, 418144.4248, 1, 

