21 产品成本资料表: 
21.1 序号: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 
21.2 产品名称: 女士T恤, 女士连衣裙, 女士连衣裙, 女士连衣裙, 女士连衣裙, 女士T恤, 女士T恤, 女士T恤, 女士短裙, 女士T恤, 女士T恤, 女士T恤, 女士T恤, 女士T恤, 女士短裙, 女士短裙, 女士短裙, 女士短裙, 女士短裙, 女士短裙, 女士短裙, 女士短裙, 女士连衣裙, 女士连衣裙, 女士连衣裙, 女士连衣裙, 女士连衣裙, 
21.3 型号: B-0003\(一级), B-0001\(一级), B-0001\(一级), B-0001\(一级), B-0001\(一级), B-0003\(一级), B-0003\(一级), B-0003\(一级), B-0002\(一级), B-0003\(一级), B-0003\(一级), B-0003\(一级), B-0003\(一级), B-0003\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0002\(一级), B-0001\(一级), B-0001\(一级), B-0001\(一级), B-0001\(一级), B-0001\(一级), 
21.4 规格: S, M, M, L, L, S, S, M, S, M, M, L, L, L, M, S, S, M, M, L, L, L, S, S, S, M, L, 
21.5 生产数量: 10000, 40000, 70000, 20000, 40000, 20000, 50000, 10000, 20000, 20000, 50000, 10000, 20000, 50000, 60000, 40000, 60000, 20000, 40000, 20000, 40000, 60000, 20000, 40000, 70000, 20000, 70000, 
21.6 原料成本: 100000, 450000, 600000, 290000, 460000, 190000, 400000, 120000, 190000, 210000, 480000, 120000, 220000, 500000, 580000, 380000, 550000, 200000, 390000, 210000, 400000, 580000, 270000, 440000, 590000, 280000, 610000, 
21.7 物料成本: 120000, 129000, 236000, 690000, 130000, 235000, 385000, 135000, 380000, 200000, 510000, 130000, 240000, 510000, 1200000, 700000, 1350000, 420000, 800000, 450000, 900000, 125000, 650000, 128000, 2350000, 68000, 238000, 
21.8 人工成本: 36000, 130000, 225000, 70000, 130000, 72000, 150000, 36000, 70000, 72000, 150000, 36000, 72000, 150000, 270000, 130000, 200000, 75000, 140000, 75000, 150000, 280000, 70000, 130000, 225000, 70000, 225000, 
21.9 制造费用: 15000, 68000, 120000, 36000, 68000, 29000, 62000, 15000, 36000, 29000, 62000, 16000, 30000, 63000, 132000, 68000, 130000, 36000, 68000, 38000, 70000, 135000, 36000, 68000, 120000, 36000, 120000, 
21.10 制造成本: 12000, 52000, 88000, 26000, 52000, 24000, 48000, 13000, 26000, 25000, 49000, 13000, 25000, 49000, 85000, 52000, 85000, 26000, 52000, 26000, 52000, 85000, 26000, 52000, 88000, 26000, 88000, 
21.11 毛利: 150000, 460000, 900000, 220000, 460000, 310000, 650000, 150000, 220000, 310000, 650000, 150000, 310000, 650000, 800000, 460000, 800000, 220000, 460000, 220000, 460000, 800000, 220000, 460000, 900000, 220000, 900000, 

