25 开票登记表: 
25.1 序号: 1, 2, 3, 4, 5, 6, 7, 8, 
25.2 开票日期: 2021-09-0100:00:00, 2021-09-0200:00:00, 2021-09-0300:00:00, 2021-09-0400:00:00, 2021-09-0500:00:00, 2021-09-0600:00:00, 2021-09-0700:00:00, 2021-09-0800:00:00, 
25.3 发票号码: 35734919, 24527885, 40500538, 28879427, 27402866, 36021596, 49577367, 26809960, 
25.4 购买方: 晴天设计稻壳1, 广州新南公司, 晴天设计稻壳1, 广州新南公司, 晴天设计稻壳1, 广州新南公司, 晴天设计稻壳1, 广州新南公司, 
25.5 联系电话: 200-0000-0000, 200-0000-0001, 200-0000-0000, 200-0000-0001, 200-0000-0000, 200-0000-0001, 200-0000-0000, 200-0000-0001, 
25.6 货物或应税劳务、服务名称: 笔记本电脑, 华为手机, 主板, 计算器, 主板, 计算器, 主板, 主板, 
25.7 规格型号: AS141, AS142, AS143, AS144, AS145, AS146, AS147, AS148, 
25.8 单位: 套, 个, 套, 个, 套, 个, 套, 套, 
25.9 数量: 1, 1, 1, 1, 1, 3, 2, 5, 
25.10 单价: 3044, 2086, 4080, 2615, 3841, 3857, 2789, 10, 
25.11 金额: 3044, 2086, 4080, 2615, 3841, 11571, 5578, 50, 
25.12 税率: 0.05, 0.25, 0.05, 0.25, 0.05, 0.25, 0.05, 0.25, 
25.13 税额: 152.20000000000002, 521.5, 204, 653.75, 192.05, 2892.75, 278.90000000000003, 12.5, 
25.14 备注: None, None, None, None, None, None, None, None, 

