53 table: 
53.1 日期: 2020-01-0100:00:00, 2020-02-0100:00:00, 2020-03-0100:00:00, 2020-04-0100:00:00, 2020-05-0100:00:00, 2020-06-0100:00:00, 2020-07-0100:00:00, 2020-08-0100:00:00, 2020-09-0100:00:00, 2020-10-0100:00:00, 2020-11-0100:00:00, 2020-12-0100:00:00, None, 
53.2 流水号: 1256901, 1256902, 1256903, 1256904, 1256905, 1256906, 1256907, 1256908, 1256909, 1256910, 1256911, 1256912, None, 
53.3 收入项目: 项目1, 项目2, 项目3, 项目4, 项目5, 项目6, 项目7, 项目8, 项目9, 项目10, 项目11, 项目12, None, 
53.4 收入金额: 1500, 1600, 2500, 3200, 4500, 5500, 6200, 7500, 8400, 9000, 9400, 9800, None, 
53.5 收入账户: 账户1, 账户2, 账户3, 账户4, 账户5, 账户1, 账户2, 账户3, 账户4, 账户5, 账户5, 账户1, None, 
53.6 日期: 2020-01-0100:00:00, 2020-02-0100:00:00, 2020-03-0100:00:00, 2020-04-0100:00:00, 2020-05-0100:00:00, 2020-06-0100:00:00, 2020-07-0100:00:00, 2020-08-0100:00:00, 2020-09-0100:00:00, 2020-10-0100:00:00, 2020-11-0100:00:00, 2020-12-0100:00:00, None, 
53.7 流水号: 1256901, 1256902, 1256903, 1256904, 1256905, 1256906, 1256907, 1256908, 1256909, 1256910, 1256911, 1256912, None, 
53.8 支出项目: 项目1, 项目2, 项目3, 项目4, 项目5, 项目6, 项目7, 项目4, 项目5, 项目6, 项目7, 项目8, None, 
53.9 支出金额: 600, 500, 900, 1200, 1500, 2100, 2500, 3000, 3500, 4000, 4500, 5000, None, 
53.10 支出账户: 账户3, 账户4, 账户5, 账户1, 账户2, 账户3, 账户4, 账户5, 账户1, 账户2, 账户3, 账户4, None, 
53.11 月份: 1月份, 2月份, 3月份, 4月份, 5月份, 6月份, 7月份, 8月份, 9月份, 10月份, 11月份, 12月份, 合计, 
53.12 收入金额: 1500, 1600, 2500, 3200, 4500, 5500, 6200, 7500, 8400, 9000, 9400, 9800, 69100, 
53.13 支出金额: 600, 500, 900, 1200, 1500, 2100, 2500, 3000, 3500, 4000, 4500, 5000, 29300, 
53.14 结余金额: 900, 1100, 1600, 2000, 3000, 3400, 3700, 4500, 4900, 5000, 4900, 4800, 39800, 

