54 银行短期借款明细表: 
54.1 序号: 2, 5, 9, 10, 1, 6, 16, 3, 14, 15, 8, 4, 13, 7, 11, 12, 
54.2 借款银行: 工商银行, 中国银行, 农业银行, 工商银行, 农业银行, 中国银行, 招商银行, 中国银行, 农业银行, 招商银行, 农业银行, 中国银行, 农业银行, 招商银行, 建设银行, 中国银行, 
54.3 借款种类: 流动资金借款, 流动资金借款, 流动资金借款, 项目借款, 流动资金借款, 流动资金借款, 流动资金借款, 项目借款, 卖方信贷, 卖方信贷, 项目借款, 项目借款, 生产周转借款, 项目借款, 项目借款, 生产周转借款, 
54.4 借入日期: 2012-01-0300:00:00, 2012-01-0100:00:00, 2012-03-1500:00:00, 2012-03-1700:00:00, 2012-01-0100:00:00, 2012-02-0500:00:00, 2012-05-1900:00:00, 2012-01-0300:00:00, 2012-05-1000:00:00, 2012-05-1200:00:00, 2012-03-1200:00:00, 2012-01-2000:00:00, 2012-04-2000:00:00, 2012-02-1500:00:00, 2012-04-0800:00:00, 2012-04-1500:00:00, 
54.5 借款额度: 56000, 75000, 29000, 260000, 58000, 15000, 26000, 100000, 130000, 210000, 150000, 115000, 25000, 45000, 65000, 39000, 
54.6 借款期限（天）: 90, 180, 90, 90, 180, 180, 90, 270, 180, 180, 270, 360, 270, 360, 360, 360, 
54.7 还款日期: 2012-04-0200:00:00, 2012-06-2900:00:00, 2012-06-1300:00:00, 2012-06-1500:00:00, 2012-06-2900:00:00, 2012-08-0300:00:00, 2012-08-1700:00:00, 2012-09-2900:00:00, 2012-11-0600:00:00, 2012-11-0800:00:00, 2012-12-0700:00:00, 2013-01-1400:00:00, 2013-01-1500:00:00, 2013-02-0900:00:00, 2013-04-0300:00:00, 2013-04-1000:00:00, 
54.8 借款年利率: 0.0585, 0.0585, 0.0585, 0.0585, 0.0585, 0.0585, 0.0585, 0.0631, 0.0585, 0.0585, 0.0631, 0.0631, 0.0631, 0.0631, 0.0631, 0.0631, 
54.9 抵押资产及编号: KBL-1S02411, KBL-1S02414, KBL-1S02418, KBL-1S02419, KBL-1S02410, KBL-1S02415, KBL-1S02425, KBL-1S02412, KBL-1S02423, KBL-1S02424, KBL-1S02417, KBL-1S02413, KBL-1S02422, KBL-1S02416, KBL-1S02420, KBL-1S02421, 
54.10 应付利息: 807.7808219178082, 2163.698630136986, 418.3150684931507, 3750.4109589041095, 1673.2602739726028, 432.73972602739724, 375.041095890411, 4667.671232876713, 3750.4109589041095, 6058.356164383562, 7001.506849315068, 7157.095890410959, 1166.9178082191781, 2800.6027397260273, 4045.3150684931506, 2427.1890410958904, 
54.11 备注: None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 

