55 应收账款明细表: 
55.1 序号: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
55.2 合同编码: W-001, W-002, W-003, W-004, W-005, W-006, W-007, W-008, W-009, W-010, 
55.3 合同名称: 合同1, 合同2, 合同3, 合同4, 合同5, 合同6, 合同7, 合同8, 合同9, 合同10, 
55.4 客户名称: 稻壳1, 稻壳2, 稻壳3, 稻壳4, 稻壳5, 稻壳1, 稻壳2, 稻壳3, 稻壳4, 稻壳5, 
55.5 签订日期: 2020-08-0100:00:00, 2020-08-0200:00:00, 2020-08-0300:00:00, 2020-08-0400:00:00, 2020-08-0500:00:00, 2020-08-0600:00:00, 2020-08-0700:00:00, 2020-08-0800:00:00, 2020-08-0900:00:00, 2020-08-1000:00:00, 
55.6 合同金额: 8000, 7000, 6000, 5000, 8000, 7000, 6000, 5000, 7000, 6000, 
55.7 已收款金额: 2000, 4000, 2000, 1000, 2000, 2000, 2000, 4000, 2000, 1000, 
55.8 未付款金额: 6000, 3000, 4000, 4000, 6000, 5000, 4000, 1000, 5000, 5000, 
55.9 付款率: 0.25, 0.5714285714285714, 0.3333333333333333, 0.2, 0.25, 0.2857142857142857, 0.3333333333333333, 0.8, 0.2857142857142857, 0.16666666666666666, 
55.10 备注: None, None, None, None, None, None, None, None, None, None, 

