73 应付账款明细表: 
73.1 序号: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
73.2 合同编号: HT-001, HT-002, HT-003, HT-004, HT-005, HT-006, HT-007, HT-008, HT-009, HT-010, 
73.3 合同名称: 合同1, 合同2, 合同3, 合同4, 合同5, 合同6, 合同7, 合同8, 合同9, 合同10, 
73.4 签订日期: 2020-03-0100:00:00, 2020-03-0200:00:00, 2020-03-0300:00:00, 2020-03-0400:00:00, 2020-03-0500:00:00, 2020-03-0600:00:00, 2020-03-0700:00:00, 2020-03-0800:00:00, 2020-03-0900:00:00, 2020-03-1000:00:00, 
73.5 单位名称: 单位1, 单位2, 单位3, 单位4, 单位5, 单位6, 单位7, 单位8, 单位9, 单位10, 
73.6 联系方式: 158****4589, 159****4578, 199****3245, 132****3698, 145****4784, 136****2587, 158****1478, 159****3698, 199****1478, 155****3589, 
73.7 供货日期: 43891, 43892, 43893, 43894, 43895, 43896, 43897, 43898, 43899, 43900, 
73.8 应付金额: 10000, 5000, 20000, 15000, 12000, 16000, 5000, 20000, 15000, 15000, 
73.9 期限（天）: 30, 25, 30, 60, 35, 55, 35, 90, 60, 120, 
73.10 已付金额: 8000, 5000, 10000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 
73.11 未付金额: 2000, 0, 10000, 14000, 11000, 15000, 4000, 19000, 14000, 14000, 
73.12 剩余（天）: 10, 15, 12, 14, 15, 16, 19, 22, 10, 99, 
73.13 备注信息: None, None, None, None, None, None, None, None, None, None, 

